No,PROYECTO,CATEGORIA DE DEPARTAMENTO,CATEGORIA DE MUNICIPIO,REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO,LOCALIDAD/TRONCAL,CANTIDAD,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA DE APROBACION,ESTADO DE LA ZONA,ZONA INAGURADA;
42,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05142,Caracolí,N/A,1,PARQUE PRINCIPAL,514206001,CRA. 21B #21-2 (PARQUE PRINCIPAL CARACOLÍ),-74.757019,6.411119,25/05/2017,OPERATIVA,SI;
43,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05145,Caramanta,N/A,1,PARQUE PRINCIPAL,514506001,CARRERA 21 CON CALLE 19,-75.644555,5.548697,25/05/2017,OPERATIVA,SI;
44,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05147,Carepa,N/A,1,PARQUE PRINCIPAL,514706001,CARRERA 73 ENTRE CALLES 80 Y 76A,-76.655725,7.755781,02/06/2017,OPERATIVA,SI;
45,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05150,Carolina,N/A,1,PARQUE PRINCIPAL,515006001,CRA. 49 CON CALLE 49 (PARQUE PRINCIPAL),-75.281247,6.723491,24/05/2017,OPERATIVA,SI;
46,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05154,Caucasia,N/A,1,PARQUE PRINCIPAL,515406001,PARQUE PRINCIPAL CAUCASIA,-75.1983,7.98776,24/05/2017,OPERATIVA,SI;
47,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05172,Chigorodó,N/A,1,PARQUE PRINCIPAL,517206001,CL. 101 #105-18 (PARQUE CHIGORODÓ),-76.685239,7.67233,25/05/2017,OPERATIVA,SI;
48,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05190,Cisneros,N/A,1,PARQUE PRINCIPAL,519006001,CL 19#20,-75.08863,6.538383,24/05/2017,OPERATIVA,SI;
49,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05101,Ciudad Bolívar,N/A,1,PARQUE PRINCIPAL,510106001,CLL 49 (PARQUE PRINCIPAL),-76.020686,5.849989,17/05/2017,OPERATIVA,SI;
50,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05197,Cocorná,N/A,1,PARQUE PRINCIPAL,519706001,CARRERA 20 CON CALLE #20,-75.185288,6.057521,02/06/2017,OPERATIVA,SI;
51,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05206,Concepción,N/A,1,PARQUE PRINCIPAL,520606001,CL. 20 #20-2 (PARQUE PRINCIPAL,-75.259344,6.395222,24/05/2017,OPERATIVA,SI;
52,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05209,Concordia,N/A,1,PARQUE PRINCIPAL,520906001,CLL 19 CON 19 (PARQUE PRINCIPAL),-75.90719,6.046208,25/05/2017,OPERATIVA,SI;
53,ZONAS WIFI GRATIS PARA LA GENTE,ESP,2,Region Eje Cafetero - Antioquia,5,Antioquia,05212,Copacabana,N/A,1,PARQUE PRINCIPAL,521206001,CALLE 49 CON CARRERA 50,-75.508107,6.346221,04/05/2017,OPERATIVA,SI;
54,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05234,Dabeiba,N/A,1,PARQUE PRINCIPAL,523406001,CALLE 12 CON LA CRA 12,-76.266688,7.00138,24/05/2017,OPERATIVA,SI;
55,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05237,Don Matías,N/A,1,PARQUE PRINCIPAL,523706001,CARRERA 29 CON CALLE 29,-75.394771,6.486111,24/05/2017,OPERATIVA,SI;
"56,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05240,Ebéjico,N/A,1,BARRIO EL CARMELO (PARTE ALTA),524006001,""SEC CARRERA 10 (SECTOR LA VIRGEN, BARRIO EL CARMELO)"",-75.763083,6.327119,26/05/2017,OPERATIVA,SI";
57,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05240,Ebéjico,N/A,1,PARQUE PRINCIPAL,524006002,CALLE 20 CON CARRERA 20 (PARQUE,-75.768055,6.326666,02/06/2017,OPERATIVA,SI;
58,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05250,El Bagre,N/A,1,PARQUE PRINCIPAL,525006001,CLL 50 (PARQUE PRINCIPAL),-74.812921,7.600009,25/05/2017,OPERATIVA,SI;
59,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05148,El Carmen de Viboral,N/A,1,PARQUE PRINCIPAL,514806001,PARQUE PRINCIPAL CARMEN DE VIBORAL,-75.335334,6.08293,01/06/2017,OPERATIVA,SI;
60,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05697,El Santuario,N/A,1,PARQUE PRINCIPAL,569706001,CARRERA 50 CON CALLE 50,-75.265669,6.139488,24/05/2017,OPERATIVA,SI;
61,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05264,Entrerrios,N/A,1,PARQUE PRINCIPAL,526406001,CL. 10 #11-42,-75.517185,6.567571,15/05/2017,OPERATIVA,SI;
62,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05266,Envigado,N/A,1,POLIDEPORTIVO SUR DE ENVIGADO,526606001,CARRERA 48 - 46 SUR 150,-75.600363,6.164541,24/05/2017,OPERATIVA,SI;
63,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05266,Envigado,N/A,1,VIGA SKATE-PARK,526606002,CARRERA 43 # 33 S - 10,-75.595908,6.169025,26/05/2017,OPERATIVA,SI;
